ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,taxon_3_IdeTaxonRef_key,taxon_3_taxon_irn,taxon_3_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab,col_4_ColCollectorRef_key,col_4_Collector_irn,col_4_NamFullName,col_4_NamBriefName,col_4_NamFirst,col_4_NamMiddle,col_4_NamLast,col_4_NamPartyType,col_4_NamSource,col_4_NamExternalReferences_tab,col_4_NamOrganisationOtherNames_tab,col_4_NamOtherNames_tab,col_4_NamRoles_tab
809,http://fm-digital-assets.fieldmuseum.org/543/464/V0125503F.jpg,2766349,V0125503F,1534792.0,,Nicotiana,,,,,21089,1943-12-07,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,815.0,52097.0,104813.0,,,,,,,806.0,37196.0,Harley H. Bartlett,H. H. Bartlett,Harley,Harris,Bartlett,Person,Botany Master,ASA Botanist ID 102756,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,http://fm-digital-assets.fieldmuseum.org/543/497/V0125538F.jpg,2766387,V0125538F,63765.0,,Nierembergia,aristata,,,,,1878-10-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,816.0,548253.0,104795.0,,,,,,,807.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,http://fm-digital-assets.fieldmuseum.org/543/498/V0125539F.jpg,2766388,V0125539F,809329.0,,Nierembergia,aristata,,,,3177,1934-11-28,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,817.0,548253.0,104795.0,,,,,,,808.0,14930.0,Angel L. Cabrera,A. L. Cabrera,Angel,Lulio,Cabrera,Person,Botany Master,ASA Botanist ID 100710,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,http://fm-digital-assets.fieldmuseum.org/543/518/V0125560F.jpg,2766408,V0125560F,1536682.0,,Nierembergia,hippomanica,,,,19849,1943-04-01,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,818.0,548260.0,104795.0,,,,,,,809.0,37196.0,Harley H. Bartlett,H. H. Bartlett,Harley,Harris,Bartlett,Person,Botany Master,ASA Botanist ID 102756,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,http://fm-digital-assets.fieldmuseum.org/543/519/V0125561F.jpg,2766409,V0125561F,864960.0,,Nierembergia,hippomanica,,,,1650,1933-12-02,1933-12-04,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,819.0,548260.0,104795.0,,,,,,,810.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,http://fm-digital-assets.fieldmuseum.org/543/521/V0125564F.jpg,2767021,V0125564F,2173305.0,,Petunia,axillaris,,,,16239,1995-01-24,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,820.0,548268.0,285705.0,,,,,,,811.0,73031.0,Troels M. Pedersen,T. M. Pedersen,Troels,Myndel,Pedersen,Person,Botany Master,ASA Botanist ID 127274,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,http://fm-digital-assets.fieldmuseum.org/543/536/V0125579F.jpg,2767022,V0125579F,1004212.0,,Petunia,axillaris,,,,208,1934-09-23,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,821.0,548268.0,285705.0,,,,,,,812.0,20451.0,Carlos M. D. E. Legrand,C. Diego Legrand,Carlos,Maria Diego Enrique,Legrand,Person,Botany Master,ASA Botanist ID 176972,,"D. Legrand
C. D. Legrand
C. Diego Legrand",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,http://fm-digital-assets.fieldmuseum.org/543/568/V0125611F.jpg,2767115,V0125611F,2258911.0,,Petunia,integrifolia,,,,16244,1995-01-26,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,822.0,548272.0,285705.0,,,,,,,813.0,73031.0,Troels M. Pedersen,T. M. Pedersen,Troels,Myndel,Pedersen,Person,Botany Master,ASA Botanist ID 127274,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,http://fm-digital-assets.fieldmuseum.org/543/573/V0125616F.jpg,2767116,V0125616F,2258912.0,,Petunia,integrifolia,,,,16244,1995-01-26,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,823.0,548272.0,285705.0,,,,,,,814.0,73031.0,Troels M. Pedersen,T. M. Pedersen,Troels,Myndel,Pedersen,Person,Botany Master,ASA Botanist ID 127274,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,http://fm-digital-assets.fieldmuseum.org/543/577/V0125620F.jpg,2767117,V0125620F,63766.0,,Petunia,intermedia,,,,,1878-11-21,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,824.0,548273.0,285705.0,,,,,,,815.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,http://fm-digital-assets.fieldmuseum.org/544/156/V0126203F.jpg,2766413,V0126203F,2258699.0,,Nierembergia,linariifolia,,,,16260,1995-01-27,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,825.0,548261.0,104795.0,,,,,,,816.0,73031.0,Troels M. Pedersen,T. M. Pedersen,Troels,Myndel,Pedersen,Person,Botany Master,ASA Botanist ID 127274,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,http://fm-digital-assets.fieldmuseum.org/544/199/V0126246F.jpg,2766456,V0126246F,696493.0,,Nierembergia,,,,,22368,1931-11-05,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,826.0,104795.0,104813.0,,,,,,,817.0,22587.0,Cornelius Osten,C. Osten,Cornelius,,Osten,Person,Botany Master,ASA Botanist ID 102715,,Corn. Osten,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,http://fm-digital-assets.fieldmuseum.org/544/201/V0126248F.jpg,2766458,V0126248F,864887.0,,Nierembergia,,,,,1710,1934-11-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,827.0,104795.0,104813.0,,,,,,,818.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,http://fm-digital-assets.fieldmuseum.org/544/215/V0126262F.jpg,2767157,V0126262F,586588.0,,Petunia,parviflora,,,,1880,1928-02-20,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,828.0,57904.0,285705.0,,,,,,,819.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,http://fm-digital-assets.fieldmuseum.org/544/249/V0126296F.jpg,2767247,V0126296F,638581.0,,Petunia,viscidula,,,,1144,1928-09-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,829.0,548285.0,285705.0,,,,,,,820.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,http://fm-digital-assets.fieldmuseum.org/544/258/V0126305F.jpg,2767245,V0126305F,572873.0,,Petunia,violacea,,,,1017,1927-11-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,830.0,378092.0,285705.0,,,,,,,821.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,http://fm-digital-assets.fieldmuseum.org/544/297/V0126344F.jpg,2767319,V0126344F,1004093.0,,Petunia,,,,,389,1935-01-12,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,831.0,285705.0,104813.0,,,,,,,822.0,20451.0,Carlos M. D. E. Legrand,C. Diego Legrand,Carlos,Maria Diego Enrique,Legrand,Person,Botany Master,ASA Botanist ID 176972,,"D. Legrand
C. D. Legrand
C. Diego Legrand",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,http://fm-digital-assets.fieldmuseum.org/544/520/V0126531F.jpg,2768925,V0126531F,586575.0,,Physalis,viscosa,,,,185b,1928-02-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,832.0,59250.0,59186.0,,,,,,,823.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,http://fm-digital-assets.fieldmuseum.org/544/525/V0126536F.jpg,2768923,V0126536F,1004026.0,,Physalis,viscosa,,,,530,,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,833.0,59250.0,59186.0,,,,,,,824.0,20451.0,Carlos M. D. E. Legrand,C. Diego Legrand,Carlos,Maria Diego Enrique,Legrand,Person,Botany Master,ASA Botanist ID 176972,,"D. Legrand
C. D. Legrand
C. Diego Legrand",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,http://fm-digital-assets.fieldmuseum.org/545/144/V0127161F.jpg,2776921,V0127161F,564428.0,,Solanum,americanum,,,,186a,1924-08-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,834.0,72817.0,104801.0,,,,,,,825.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,http://fm-digital-assets.fieldmuseum.org/545/219/V0127236F.jpg,2777138,V0127236F,998433.0,,Solanum,amygdalifolium,,,,,1871,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,835.0,72823.0,104801.0,,,,,,,826.0,189939.0,C. Fruchard,C. Fruchard,C.,,Fruchard,Person,Botany Master,ASA Botanist ID 119679,,M. (Monsieur) Fruchard,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,http://fm-digital-assets.fieldmuseum.org/545/221/V0127238F.jpg,2777136,V0127238F,564429.0,,Solanum,amygdalifolium,,,,190a,1925-06-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,836.0,72823.0,104801.0,,,,,,,827.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,http://fm-digital-assets.fieldmuseum.org/545/756/V0127774F.jpg,2778244,V0127774F,1252982.0,,Solanum,atropurpureum,,,,2045,1937-02-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,837.0,72869.0,104801.0,,,,,,,828.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,http://fm-digital-assets.fieldmuseum.org/545/983/V0128002F.jpg,2779731,V0128002F,63755.0,,Solanum,bonariense,,,,,1877-10-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,838.0,549029.0,104801.0,,,,,,,829.0,62561.0,Paul (Pablo) G. Lorentz,P. G. Lorentz,Paul (Pablo),Günther,Lorentz,Person,Botany Master,ASA Botanist ID 100771 | 135786,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,http://fm-digital-assets.fieldmuseum.org/545/991/V0128010F.jpg,2779730,V0128010F,652093.0,,Solanum,bonariense,,,,475b,1930-02-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,839.0,549029.0,104801.0,,,,,,,830.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,http://fm-digital-assets.fieldmuseum.org/547/601/V0128358F.jpg,2780742,V0128358F,1534519.0,,Solanum,chenopodioides,,,,20944,1943-11-27,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,840.0,72968.0,104801.0,,,,,,,831.0,37196.0,Harley H. Bartlett,H. H. Bartlett,Harley,Harris,Bartlett,Person,Botany Master,ASA Botanist ID 102756,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,http://fm-digital-assets.fieldmuseum.org/548/255/V0129017F.jpg,2781820,V0129017F,864959.0,,Solanum,elaeagnifolium,,,,1636,1933-11-,,,18049,,,,,Uruguay,Uruguay,,,-32.8667,32  52 00 S,-55.7933,55 47 36 W,22205,841.0,73116.0,104801.0,,,,,,,832.0,76249.0,Wilhelm (Guillermo) G. F. F. Herter,W. Herter,Wilhelm (Guillermo),Gustav Franz (Gustavo Francisco),Herter,Person,Botany Master,ASA Botanist ID 101401,,"G. Herter
Guillermo Gustavo Francisco Herter
W. G. F. Herter",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
